Authors,Authors_link,Title,Title_link,Date
"Adefila, A., Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Decolonising Education – Fostering Conversations - Interim Project Report,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re,9 Sept 2021
"Tramontano, C., Clarke, C., Grant, C.","https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,  https://pureportal.coventry.ac.uk/en/persons/christine-grant",Development and validation of the e-Work Self-Efficacy Scale to assess digital competencies in remote working,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a,31 Jul 2021
"Orsini-Jones, M., Finardi, K.",https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones,"Digital critical literacy development and intercultural awareness raising ‘in’ action, ‘on’ action and ‘for’ action in ELT",https://pureportal.coventry.ac.uk/en/publications/digital-critical-literacy-development-and-intercultural-awareness,1 Oct 2021
"Smith, J., King, V., Billot, J., Clouder, L.",https://pureportal.coventry.ac.uk/en/persons/deanne-clouder,Dual-status academics: What makes for meaningful identity-work?,https://pureportal.coventry.ac.uk/en/publications/dual-status-academics-what-makes-for-meaningful-identity-work,21 Jun 2021
"Brown, G., Padovan, D., Robinson, Z., Soliev, I., Willers, B., Wimpenny, K., Arrobbio, O., Morini, L., Adefila, A., Spolander, G.","https://pureportal.coventry.ac.uk/en/persons/geraldine-brown,  https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Ecologized Collaborative Online International Learning: Tackling Wicked Sustainability Problems through Education for Sustainable Development,https://pureportal.coventry.ac.uk/en/publications/ecologized-collaborative-online-international-learning-tackling-w,17 Jul 2021
"Morini, L.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,Education as Bulwark of Uselessness.,https://pureportal.coventry.ac.uk/en/publications/education-as-bulwark-of-uselessness,28 Feb 2021
"Ersozlu, A., Usak, M., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"Emotions in Learning, Teaching, and Leadership: A Bibliometric Review of Asian Literature (1990–2018)",https://pureportal.coventry.ac.uk/en/publications/emotions-in-learning-teaching-and-leadership-a-bibliometric-revie,25 Jan 2021
"Hodds, M., Aslam, F., Gokhool, F., Lawson, D.","https://pureportal.coventry.ac.uk/en/persons/farhana-gokhool,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/mark-hodds,  https://pureportal.coventry.ac.uk/en/persons/farzana-aslam",Exploring differential engagement with mathematics support from an engineering student focus,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a,23 Dec 2021
"Wilson, C., Ruddock, L., Bello, J.",https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,Finding our place in the world with the Sustainable Development Goals,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,18 Feb 2021
"Morini, L., Raven, S.","https://pureportal.coventry.ac.uk/en/persons/luca-morini,  https://pureportal.coventry.ac.uk/en/persons/steve-raven",Institute of Coding - Educational Evaluation Report,https://pureportal.coventry.ac.uk/en/publications/institute-of-coding-educational-evaluation-report,26 Mar 2021
"Karlsson, L., Chen, Y-F., Dang, Q., Massari, S., Adefila, A., Viviani, A., Ammari-Allahyari, M., Antonelli, M., Saarto, A., Filipova, T., DeWinter, A.","https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen,  https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,  https://pureportal.coventry.ac.uk/en/persons/alun-dewinter","Integrating Sustainability-Oriented Ecologies of Practice Across the Learning Cycle: Supporting Transformative Behaviours in Transgenerational, Transnational and Transdisciplinary Spaces",https://pureportal.coventry.ac.uk/en/publications/integrating-sustainability-oriented-ecologies-of-practice-across-,30 Dec 2021
"Rubin, J., Beelen, J., Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Internationalisation in the classroom and questions of alignment: embedding COIL in an internationalised curriculum,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-,22 Feb 2021
"Adefila, A., DeWinter, A., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny","JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case",https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,Apr 2021
"Croft, T., Lawson, D.",https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,Lessons for mathematics higher education from 25 years of mathematics support,https://pureportal.coventry.ac.uk/en/publications/lessons-for-mathematics-higher-education-from-25-years-of-mathema,15 Apr 2021
"Muhibuddin, F., Tomlins, R., Wimpenny, K., Arifin, R., Aldy, P. R., Utami, D. D., Arnab, S.","https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Measuring Early-Primary Students Resilience through Playful Learning,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn,27 Sept 2021
"Tramontano, C., Pastorelli, C., Regner, E., Zuffianó, A., Eisenberg, N., Caprara, M. G., Caprara, G. V., Zhu, L.",https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano,Measuring Prosocial Behaviors: Psychometric Properties and Cross-National Validation of the Prosociality Scale in Five Countries,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n,22 Jul 2021
"Harrison, P., Liu, D., DeWinter, A., Wimpenny, K.","https://pureportal.coventry.ac.uk/en/persons/alun-dewinter,  https://pureportal.coventry.ac.uk/en/persons/peter-harrison,  https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny",Motivation factors in student decisions to study Transnational Higher Education in China: a comparative study of two Anglo-Sino programmes,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st,29 Mar 2021
"Fero, K.",https://pureportal.coventry.ac.uk/en/persons/ken-fero,Obstinate Memory: Documentary as trauma in disrupting state narratives on racial violence,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat,5 Oct 2021
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Online Pedagogies Beyond the Classroom,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom,11 Nov 2021
"Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Outcomes of school administrators’ emotion management: A review of evidence in Asian countries,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-,28 Apr 2021
"Wimpenny, K.",https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,Practising cultural sensitivity in virtual spaces: Virtual International Cultural Diversity Festival,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces-virtual-interna,17 Sept 2021
